Links	Status	Links	Priority		Reading List		Mock																			
NodeJS					https://medium.com/@ionut-anghel/rest-endpoint-best-practices-every-developer-should-know-24b0c1d0088f		https://youtu.be/4PlK1rtpFXY?si=Y7UKutrzv3JvAw3f																			
https://intellipaat.com/blog/interview-question/web-developer-interview-questions/	OPEN				https://pinjarirehan.medium.com/why-node-js-is-the-ultimate-game-changer-for-backend-development-26415839bbe2																					
https://www.youtube.com/watch?v=TtPsUq09OZU&list=PLdHg5T0SNpN2c0j8ggRFUU4iRxVznozWt	CLOSED				https://levelup.gitconnected.com/8-advanced-javascript-interview-questions-for-senior-roles-c59e1b0f83e1																					
Top 100+ Node.js Interview Questions and Answers for 2023 | Simplilearn	OPEN																									
https://www.javatpoint.com/node-js-interview-questions	OPEN																									
https://www.interviewbit.com/node-js-interview-questions/	OPEN																									
https://www.toptal.com/nodejs/interview-questions	OPEN																									
https://www.fullstack.cafe/blog/node-js-interview-questions	OPEN																									
https://www.edureka.co/blog/interview-questions/top-node-js-interview-questions-2016/	OPEN																									
https://hackr.io/blog/node-js-interview-questions	OPEN																									
																										
																										
																										
																										
																										
																										
																										
																										
																										
Angular																										
https://www.simplilearn.com/tutorials/angular-tutorial/angular-interview-questions	OPEN																									
https://github.com/sudheerj/angular-interview-questions	OPEN																									
https://www.interviewbit.com/angular-interview-questions/	OPEN																									
https://flexiple.com/angular/interview-questions/	OPEN																									
https://intellipaat.com/blog/interview-question/angular-interview-questions/?US	OPEN																									
https://www.javatpoint.com/top-angular-interview-questions	OPEN																									
https://www.edureka.co/blog/interview-questions/top-angularjs-interview-questions/	OPEN																									
https://hackr.io/blog/angular-interview-questions	OPEN																									
https://www.devteam.space/hiring-interview-tips/angular-interview-questions-and-answers/	OPEN																									
https://www.fullstack.cafe/interview-questions/angular	OPEN																									
https://medium.com/@garcia.alberto.4.2012/angular-interview-questions-e7f35237acd1	OPEN																									
																										
																										
SQL																										
https://www.interviewbit.com/sql-interview-questions/	OPEN																									
																										
Bookmarked																										
https://stateful.com/blog/15-tips-and-tricks-of-vs-code																										
																										
																										
																										
																										
																										
																										
																										
EXTRA LEARNINGS																										
setImmeadieat()	CLOSED																									
process.nexttick()	CLOSED																									
streaming in nodejs	CLOSED																									
custom pipe creation	CLOSED																									
checking load in server	CLOSED	Load testing, geo grapical, perfomance bottel necks, server&db logs, check for commanilities																								
reducing the page loading time 	CLOSED	https://www.syncfusion.com/blogs/post/improve-load-time-angular-app.aspx																								
